sample	unit	lib	platform	fq1	fq2
23x818	 P36454P3   	P36454_324	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_324/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_324_S322_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_324/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_324_S322_L004_R2_001.fastq.gz
23x818	 P36454P3   	P36454_324	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_324/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_324_S322_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_324/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_324_S322_L003_R2_001.fastq.gz
23x818	 P36454P3   	P36454_324	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_324/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_324_S322_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_324/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_324_S322_L002_R2_001.fastq.gz
22x2132	 P36454P3   	P36454_353	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_353/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_353_S351_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_353/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_353_S351_L002_R2_001.fastq.gz
22x2132	 P36454P3   	P36454_353	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_353/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_353_S351_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_353/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_353_S351_L003_R2_001.fastq.gz
22x2132	 P36454P3   	P36454_353	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_353/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_353_S351_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_353/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_353_S351_L004_R2_001.fastq.gz
23x819	 P36454P3   	P36454_325	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_325/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_325_S323_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_325/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_325_S323_L003_R2_001.fastq.gz
23x819	 P36454P3   	P36454_325	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_325/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_325_S323_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_325/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_325_S323_L002_R2_001.fastq.gz
23x819	 P36454P3   	P36454_325	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_325/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_325_S323_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_325/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_325_S323_L004_R2_001.fastq.gz
L23x461	 P36454P1   	P36454_191	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_191/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_191_S201_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_191/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_191_S201_L003_R2_001.fastq.gz
L23x461	 P36454P1   	P36454_191	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_191/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_191_S201_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_191/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_191_S201_L004_R2_001.fastq.gz
L23x461	 P36454P1   	P36454_191	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_191/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_191_S201_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_191/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_191_S201_L002_R2_001.fastq.gz
L24x277	 P36454P2   	P36454_211	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_211/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_211_S215_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_211/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_211_S215_L002_R2_001.fastq.gz
L24x277	 P36454P2   	P36454_211	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_211/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_211_S215_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_211/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_211_S215_L003_R2_001.fastq.gz
L24x277	 P36454P2   	P36454_211	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_211/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_211_S215_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_211/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_211_S215_L004_R2_001.fastq.gz
L23x376	 P36454P1   	P36454_190	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_190/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_190_S200_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_190/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_190_S200_L004_R2_001.fastq.gz
L23x376	 P36454P1   	P36454_190	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_190/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_190_S200_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_190/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_190_S200_L003_R2_001.fastq.gz
L23x376	 P36454P1   	P36454_190	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_190/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_190_S200_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_190/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_190_S200_L002_R2_001.fastq.gz
L23x379	 P36454P1   	P36454_182	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_182/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_182_S192_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_182/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_182_S192_L004_R2_001.fastq.gz
L23x379	 P36454P1   	P36454_182	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_182/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_182_S192_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_182/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_182_S192_L003_R2_001.fastq.gz
L23x379	 P36454P1   	P36454_182	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_182/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_182_S192_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_182/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_182_S192_L002_R2_001.fastq.gz
L24x244	 P36454P2   	P36454_203	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_203/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_203_S207_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_203/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_203_S207_L003_R2_001.fastq.gz
L24x244	 P36454P2   	P36454_203	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_203/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_203_S207_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_203/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_203_S207_L002_R2_001.fastq.gz
L24x244	 P36454P2   	P36454_203	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_203/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_203_S207_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_203/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_203_S207_L004_R2_001.fastq.gz
L23x371	 P36454P1   	P36454_189	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_189/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_189_S199_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_189/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_189_S199_L004_R2_001.fastq.gz
L23x371	 P36454P1   	P36454_189	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_189/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_189_S199_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_189/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_189_S199_L002_R2_001.fastq.gz
L23x371	 P36454P1   	P36454_189	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_189/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_189_S199_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_189/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_189_S199_L003_R2_001.fastq.gz
L23x105	 P36454P1   	P36454_188	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_188/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_188_S198_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_188/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_188_S198_L004_R2_001.fastq.gz
L23x105	 P36454P1   	P36454_188	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_188/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_188_S198_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_188/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_188_S198_L003_R2_001.fastq.gz
L23x105	 P36454P1   	P36454_188	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_188/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_188_S198_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_188/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_188_S198_L002_R2_001.fastq.gz
22x145	 P36454P3   	P36454_309	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_309/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_309_S307_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_309/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_309_S307_L002_R2_001.fastq.gz
22x145	 P36454P3   	P36454_309	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_309/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_309_S307_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_309/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_309_S307_L004_R2_001.fastq.gz
22x145	 P36454P3   	P36454_309	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_309/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_309_S307_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_309/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_309_S307_L003_R2_001.fastq.gz
L24x137	 P36454P2   	P36454_202	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_202/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_202_S206_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_202/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_202_S206_L002_R2_001.fastq.gz
L24x137	 P36454P2   	P36454_202	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_202/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_202_S206_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_202/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_202_S206_L003_R2_001.fastq.gz
L24x137	 P36454P2   	P36454_202	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_202/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_202_S206_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_202/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_202_S206_L004_R2_001.fastq.gz
24x1458	 P36454P3   	P36454_371	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_371/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_371_S369_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_371/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_371_S369_L002_R2_001.fastq.gz
24x1458	 P36454P3   	P36454_371	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_371/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_371_S369_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_371/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_371_S369_L003_R2_001.fastq.gz
24x1458	 P36454P3   	P36454_371	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_371/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_371_S369_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_371/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_371_S369_L004_R2_001.fastq.gz
L24x425	 P36454P2   	P36454_205	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_205/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_205_S209_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_205/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_205_S209_L003_R2_001.fastq.gz
L24x425	 P36454P2   	P36454_205	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_205/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_205_S209_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_205/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_205_S209_L002_R2_001.fastq.gz
L24x425	 P36454P2   	P36454_205	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_205/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_205_S209_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_205/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_205_S209_L004_R2_001.fastq.gz
23x1072	 P36454P3   	P36454_330	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_330/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_330_S328_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_330/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_330_S328_L003_R2_001.fastq.gz
23x1072	 P36454P3   	P36454_330	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_330/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_330_S328_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_330/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_330_S328_L002_R2_001.fastq.gz
23x1072	 P36454P3   	P36454_330	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_330/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_330_S328_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_330/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_330_S328_L004_R2_001.fastq.gz
23x272	 P36454P1   	P36454_156	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_156/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_156_S166_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_156/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_156_S166_L003_R2_001.fastq.gz
23x272	 P36454P1   	P36454_156	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_156/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_156_S166_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_156/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_156_S166_L004_R2_001.fastq.gz
23x272	 P36454P1   	P36454_156	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_156/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_156_S166_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_156/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_156_S166_L002_R2_001.fastq.gz
23x274	 P36454P1   	P36454_158	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_158/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_158_S168_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_158/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_158_S168_L002_R2_001.fastq.gz
23x274	 P36454P1   	P36454_158	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_158/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_158_S168_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_158/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_158_S168_L004_R2_001.fastq.gz
23x274	 P36454P1   	P36454_158	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_158/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_158_S168_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_158/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_158_S168_L003_R2_001.fastq.gz
L23x4	 P36454P1   	P36454_187	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_187/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_187_S197_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_187/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_187_S197_L004_R2_001.fastq.gz
L23x4	 P36454P1   	P36454_187	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_187/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_187_S197_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_187/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_187_S197_L003_R2_001.fastq.gz
L23x4	 P36454P1   	P36454_187	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_187/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_187_S197_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_187/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_187_S197_L002_R2_001.fastq.gz
24x1074	 P36454P3   	P36454_335	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_335/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_335_S333_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_335/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_335_S333_L003_R2_001.fastq.gz
24x1074	 P36454P3   	P36454_335	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_335/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_335_S333_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_335/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_335_S333_L004_R2_001.fastq.gz
24x1074	 P36454P3   	P36454_335	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_335/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_335_S333_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_335/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_335_S333_L002_R2_001.fastq.gz
24x18	 P36454P2   	P36454_209	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_209/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_209_S213_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_209/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_209_S213_L004_R2_001.fastq.gz
24x18	 P36454P2   	P36454_209	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_209/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_209_S213_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_209/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_209_S213_L002_R2_001.fastq.gz
